Ημερομηνία,ΟΣΥ,ΣΤΑΣΥ,Γραμμή 1,Γραμμή 2,Γραμμή 3,Αεροδρόμιο,ΤΡΑΜ,ΚΤΕΛ,ΣΥΝΟΛΟ ΟΣΥ ΣΤΑΣΥ,ΣΥΝΟΛΟ ΟΣΥ ΚΤΕΛ,ΓΕΝΙΚΟ ΣΥΝΟΛΟ ΟΣΥ ΚΤΕΛ ΣΤΑΣΥ
1/1/2019,63790,286496,85712,114798,78256,4123,3607,0,350286,63790,350286
2/1/2019,226653,765881,216065,313816,217018,9825,9157,0,992534,226653,992534
3/1/2019,262009,943611,259206,401619,263297,10148,9341,0,1205620,262009,1205620
4/1/2019,316643,1027491,281283,435497,289144,10627,10940,0,1344134,316643,1344134
5/1/2019,215424,733791,209966,310095,196536,7727,9467,0,949215,215424,949215
6/1/2019,128728,513469,149650,204099,146038,6843,6839,0,642197,128728,642197
7/1/2019,353665,1115769,304348,459601,328916,10852,12052,0,1469434,353665,1469434
8/1/2019,277886,976863,261047,413044,284856,6907,11009,0,1254749,277886,1254749
9/1/2019,370748,1186910,314033,488399,362999,9522,11957,0,1557658,370748,1557658
10/1/2019,403670,1255673,354926,499120,377314,10297,14016,0,1659343,403670,1659343
11/1/2019,379899,1299695,359244,519656,395770,11505,13520,0,1679594,379899,1679594
12/1/2019,206028,742796,208489,310733,208104,7424,8046,0,948824,206028,948824
13/1/2019,161764,623946,176929,247471,183638,7235,8673,0,785710,161764,785710
14/1/2019,429753,1340777,357596,552944,402875,12821,14541,0,1770530,429753,1770530
15/1/2019,399690,1261507,337517,519558,380806,10805,12821,0,1661197,399690,1661197
16/1/2019,420544,1301107,347362,535993,391754,11693,14305,0,1721651,420544,1721651
17/1/2019,424450,1369048,366036,565969,408577,12592,15874,0,1793498,424450,1793498
18/1/2019,442649,1348765,365106,552562,402510,13123,15464,0,1791414,442649,1791414
19/1/2019,268262,875970,251289,361385,242443,8426,12427,0,1144232,268262,1144232
20/1/2019,143049,646083,218007,219179,190781,8740,9376,0,789132,143049,789132
21/1/2019,441762,1275679,347799,518353,381803,12788,14936,0,1717441,441762,1717441
22/1/2019,441269,1290545,351703,526478,386109,11802,14453,0,1731814,441269,1731814
23/1/2019,402276,1258013,339112,512167,381869,11735,13130,0,1660289,402276,1660289
24/1/2019,417573,1296339,366602,497975,404559,12286,14917,0,1713912,417573,1713912
25/1/2019,310660,1144732,317500,450714,356835,11522,8161,0,1455392,310660,1455392
26/1/2019,263105,865531,246367,357985,241944,8582,10653,0,1128636,263105,1128636
27/1/2019,171481,655316,188952,257734,191283,7774,9573,0,826797,171481,826797
28/1/2019,462415,1329341,365017,538505,397398,12863,15558,0,1791756,462415,1791756
29/1/2019,451748,1335261,366867,542224,399701,11610,14859,0,1787009,451748,1787009
30/1/2019,421235,1264858,349866,516950,370715,11831,15496,0,1686093,421235,1686093
31/1/2019,430943,1314408,357784,536971,392701,12263,14689,0,1745351,430943,1745351
1/2/2019,453819,1369068,378979,557394,403400,13319,15976,0,1822887,453819,1822887
2/2/2019,271706,893232,257329,364777,250091,8772,12263,0,1164938,271706,1164938
3/2/2019,172701,685575,200615,271836,195266,8002,9856,0,858276,172701,858276
4/2/2019,454761,1316432,364045,535058,389016,13301,15012,0,1771193,454761,1771193
5/2/2019,442176,1298611,356905,530682,384703,12178,14143,0,1740787,442176,1740787
6/2/2019,375011,1203354,325319,494502,359522,11766,12245,0,1578365,375011,1578365
7/2/2019,413891,1280355,350552,520387,383809,12278,13329,0,1694246,413891,1694246
8/2/2019,435953,1353505,371020,550923,403353,13674,14535,0,1789458,435953,1789458
9/2/2019,277720,887196,255703,362218,247342,9688,12245,0,1164916,277720,1164916
10/2/2019,177653,677283,196686,263841,196994,8837,10925,0,854936,177653,854936
11/2/2019,465989,1340606,371389,539023,400086,14025,16083,0,1806595,465989,1806595
12/2/2019,450240,1339241,374233,540957,396207,12612,15232,0,1789481,450240,1789481
13/2/2019,387487,1253713,343644,509886,375698,12052,12433,0,1641200,387487,1641200
14/2/2019,400382,1283630,355085,518706,385144,11101,13594,0,1684012,400382,1684012
15/2/2019,381344,1280436,345348,527491,381551,12965,13081,0,1661780,381344,1661780
16/2/2019,230310,803579,228866,332392,224811,8345,9165,0,1033889,230310,1033889
17/2/2019,162328,650525,188952,251486,193049,8295,8743,0,812853,162328,812853
18/2/2019,437324,1355850,378549,541169,405320,14443,16369,0,1793174,437324,1793174
19/2/2019,448453,1373207,384656,552417,407766,13220,15148,0,1821660,448453,1821660
20/2/2019,448112,1386106,385080,555290,416813,13665,15258,0,1834218,448112,1834218
21/2/2019,464629,1309738,316878,552056,409652,13650,17502,0,1774367,464629,1774367
22/2/2019,445379,1387218,392533,559226,411509,14554,9396,0,1832597,445379,1832597
23/2/2019,195391,707404,197442,299717,198756,7689,3800,0,902795,195391,902795
24/2/2019,107194,466045,128316,189632,137368,6846,3883,0,573239,107194,573239
25/2/2019,372909,1232801,335220,501178,372938,13223,10242,0,1605710,372909,1605710
26/2/2019,432303,1345917,374319,546606,401442,12836,10714,0,1778220,432303,1778220
27/2/2019,426350,1365756,375432,556707,409364,13221,11032,0,1792106,426350,1792106
28/2/2019,424897,1372069,381253,553627,409730,12664,14795,0,1796966,424897,1796966
1/3/2019,444949,1388279,390659,565389,409128,14417,8686,0,1833228,444949,1833228
2/3/2019,460610,918763,266414,374512,251643,9590,16604,0,1379373,460610,1379373
3/3/2019,461109,706332,202418,277808,200898,8604,16604,0,1167441,461109,1167441
4/3/2019,445200,1391110,391895,559538,411686,14597,13394,0,1836310,445200,1836310
5/3/2019,444819,1392657,391895,559538,411686,14597,14941,0,1837476,444819,1837476
6/3/2019,466386,1426491,401385,575014,421857,14044,14191,0,1892877,466386,1892877
7/3/2019,471189,1429158,406608,570820,423056,13607,15067,0,1900347,471189,1900347
8/3/2019,431432,1405214,401444,570291,407901,14307,11271,0,1836646,431432,1836646
9/3/2019,259378,784832,236064,321974,212705,9190,4899,0,1044210,259378,1044210
10/3/2019,154470,644844,198361,249669,176857,7918,12039,0,799314,154470,799314
11/3/2019,131198,473141,156065,178965,122826,7147,8138,0,604339,131198,604339
12/3/2019,425692,1293387,365840,516603,384802,13476,12666,0,1719079,425692,1719079
13/3/2019,408994,1320683,366712,531777,394570,13117,14507,0,1729677,408994,1729677
14/3/2019,415347,1422464,392671,572969,428709,14306,13809,0,1837811,415347,1837811
15/3/2019,421194,1382545,385415,561814,411798,14665,8853,0,1803739,421194,1803739
16/3/2019,268375,952913,281111,385730,270523,10541,5008,0,1221288,268375,1221288
17/3/2019,157749,958917,281111,385736,270523,10541,11006,0,1116666,157749,1116666
18/3/2019,454423,1418368,399910,563813,424764,15158,14723,0,1872791,454423,1872791
19/3/2019,465224,1426468,400664,572486,424072,13978,15268,0,1891692,465224,1891692
20/3/2019,453663,1407496,398995,561837,420698,14321,11645,0,1861159,453663,1861159
21/3/2019,448869,1412906,390566,568182,425233,13912,15013,0,1861775,448869,1861775
22/3/2019,406149,1372322,390749,554120,402486,14179,10788,0,1778471,406149,1778471
23/3/2019,253814,849459,255892,344852,233487,9707,5521,0,1103273,253814,1103273
24/3/2019,157823,669948,200439,264458,188956,7751,8344,0,827771,157823,827771
25/3/2019,120818,627531,189298,257818,164684,7657,8074,0,748349,120818,748349
26/3/2019,438206,1361658,382819,548362,401930,14369,14178,0,1799864,438206,1799864
27/3/2019,437948,1416288,393180,569939,424388,15087,13694,0,1854236,437948,1854236
28/3/2019,409200,1386698,386152,564283,409550,13737,12976,0,1795898,409200,1795898
29/3/2019,419673,1391493,387786,567262,413955,14100,8390,0,1811166,419673,1811166
30/3/2019,257878,914009,276410,368481,253458,9550,6110,0,1171887,257878,1171887
31/3/2019,169659,695501,206266,269822,200402,8467,10544,0,865160,169659,865160
1/4/2019,462774,1406454,397473,562006,413915,15198,17862,0,1869228,462774,1869228
2/4/2019,446078,1445891,406044,581143,428020,14513,16171,0,1891969,446078,1891969
3/4/2019,400239,1468248,412738,586490,439680,15208,14132,0,1868487,400239,1868487
4/4/2019,447610,1479186,416671,589493,440468,15284,17270,0,1926796,447610,1926796
5/4/2019,413615,1463836,415209,589105,433745,15408,10369,0,1877451,413615,1877451
6/4/2019,211486,817724,235500,340801,227724,9087,4612,0,1029210,211486,1029210
7/4/2019,175160,739104,219520,290694,210233,9135,9522,0,914264,175160,914264
8/4/2019,397639,1308155,364211,528892,389734,15393,9925,0,1705794,397639,1705794
9/4/2019,443811,1418766,399641,571609,420479,14948,12089,0,1862577,443811,1862577
10/4/2019,439825,1445177,408815,581483,423682,15945,15252,0,1885002,439825,1885002
11/4/2019,454145,1492348,422928,594637,441756,15886,17141,0,1946493,454145,1946493
12/4/2019,390220,1394456,387823,571223,411120,15551,8739,0,1784676,390220,1784676
13/4/2019,252725,799807,265783,367862,150481,10756,4925,0,1052532,252725,1052532
14/4/2019,168236,785623,231057,305442,231381,9664,8079,0,953859,168236,953859
15/4/2019,413916,1386430,393297,556835,408580,14770,12948,0,1800346,413916,1800346
16/4/2019,453814,1500249,429918,600858,438956,15306,15211,0,1954063,453814,1954063
17/4/2019,434964,1481894,424012,591267,435692,16335,14588,0,1916858,434964,1916858
18/4/2019,447567,1482350,424012,591267,435696,16335,15040,0,1929917,447567,1929917
19/4/2019,440609,1496486,431914,606215,431575,16345,10437,0,1937095,440609,1937095
20/4/2019,272354,964651,291348,395822,259755,11506,6220,0,1237005,272354,1237005
21/4/2019,194516,830761,255553,335877,220163,9559,9609,0,1025277,194516,1025277
22/4/2019,418648,1350822,391095,549122,380485,15518,14602,0,1769470,418648,1769470
23/4/2019,420834,1331860,392191,539314,372582,14281,13492,0,1752694,420834,1752694
24/4/2019,408456,1274634,380562,516381,349650,14233,13808,0,1683090,408456,1683090
25/4/2019,350699,1080515,333932,438522,283984,12488,11589,0,1431214,350699,1431214
26/4/2019,200759,647040,211369,264385,153483,8592,9211,0,847799,200759,847799
27/4/2019,145616,469439,160908,186447,106374,7071,8639,0,615055,145616,615055
28/4/2019,65765,465297,160908,186447,106374,7071,4497,0,531062,65765,531062
29/4/2019,104677,384055,138437,146141,90649,7078,1750,0,488732,104677,488732
30/4/2019,256223,834048,271568,333231,208709,10772,9768,0,1090271,256223,1090271
1/5/2019,1407,233604,3189,133666,89509,16,7224,0,235011,1407,235011
2/5/2019,355866,1164571,354163,467964,314466,14448,13530,0,1520437,355866,1520437
3/5/2019,364169,1209836,369050,489225,328079,14693,8789,0,1574005,364169,1574005
4/5/2019,228186,556970,24861,313710,202887,9965,5547,0,785156,228186,785156
5/5/2019,170778,694421,221257,274357,180574,8912,9321,0,865199,170778,865199
6/5/2019,439221,1379369,403447,545201,400273,15758,14690,0,1818590,439221,1818590
7/5/2019,444729,1424335,413242,571574,412466,15961,11092,0,1869064,444729,1869064
8/5/2019,453020,1443555,419629,575337,418297,16351,13941,0,1896575,453020,1896575
9/5/2019,453472,1446661,419629,575337,418297,16351,17047,0,1900133,453472,1900133
10/5/2019,445663,1461108,428678,583420,421121,16742,11147,0,1906771,445663,1906771
11/5/2019,262498,952745,290897,381951,261723,11043,7131,0,1215243,262498,1215243
12/5/2019,174764,723880,223448,277917,203222,9533,9760,0,898644,174764,898644
13/5/2019,456102,1402037,406648,554607,410549,15282,14951,0,1858139,456102,1858139
14/5/2019,432302,1440307,416601,572201,422508,14733,14264,0,1872609,432302,1872609
15/5/2019,458747,1477290,428132,583389,435694,15077,14998,0,1936037,458747,1936037
16/5/2019,451117,1479052,428138,583389,435702,15077,16746,0,1930169,451117,1930169
17/5/2019,429791,1447278,429791,576615,417969,15503,7400,0,1877069,429791,1877069
18/5/2019,273718,994193,306476,401958,267374,11009,7376,0,1267911,273718,1267911
19/5/2019,288620,731210,227333,284580,204452,9479,5366,0,1019830,288620,1019830
20/5/2019,452608,1446324,424591,571923,419072,15262,15476,0,1898932,452608,1898932
21/5/2019,450756,1457064,430621,575512,421140,14580,15211,0,1907820,450756,1907820
22/5/2019,436643,1476385,428081,590384,426503,15390,16027,0,1913028,436643,1913028
23/5/2019,437653,1479695,429908,588842,430880,15026,15039,0,1917348,437653,1917348
24/5/2019,394109,1430537,423891,574047,405937,15149,11513,0,1824646,394109,1824646
25/5/2019,246553,849598,268624,340341,225549,10274,4810,0,1096151,246553,1096151
26/5/2019,151757,598099,192606,228192,160390,8674,8237,0,749856,151757,749856
27/5/2019,370017,1209051,360289,480320,343385,13827,11230,0,1579068,370017,1579068
28/5/2019,431239,1230703,420641,365335,414423,14840,15464,0,1661942,431239,1661942
29/5/2019,434899,1438401,419270,566343,421170,14814,16804,0,1873300,434899,1873300
30/5/2019,435928,1480736,432192,582922,432737,15383,17502,0,1916664,435928,1916664
31/5/2019,403600,1211270,355271,484286,343308,12648,15757,0,1614870,403600,1614870
1/6/2019,250432,846445,275380,333849,221273,11314,4629,0,1096877,250432,1096877
2/6/2019,164936,641819,209159,244215,170446,9904,8095,0,806755,164936,806755
3/6/2019,409433,1248262,378145,488268,351704,14320,15825,0,1657695,409433,1657695
4/6/2019,451568,1454361,434709,570091,416500,15983,17078,0,1905929,451568,1905929
5/6/2019,437959,1463499,437346,572457,420415,16398,16883,0,1901458,437959,1901458
6/6/2019,440559,1486038,444032,579598,428655,16457,17296,0,1926597,440559,1926597
7/6/2019,435366,1464428,442777,576129,418166,16797,10559,0,1899794,435366,1899794
8/6/2019,255045,954258,299127,387840,249361,12347,5583,0,1209303,255045,1209303
9/6/2019,166926,675973,213603,263053,179636,9846,9835,0,842899,166926,842899
10/6/2019,417102,1423732,431326,553782,407547,16149,14928,0,1840834,417102,1840834
11/6/2019,426209,1423635,425347,560419,406361,16019,15489,0,1849844,426209,1849844
12/6/2019,431253,1429507,427965,557888,412087,15904,15663,0,1860760,431253,1860760
13/6/2019,448289,1453310,431874,569603,416389,15675,19769,0,1901599,448289,1901599
14/6/2019,397624,837103,258385,328259,233448,10440,6571,0,1234727,397624,1234727
15/6/2019,247390,817563,269134,326355,203978,10587,7509,0,1064953,247390,1064953
16/6/2019,158158,586847,192288,226001,149101,9355,10102,0,745005,158158,745005
17/6/2019,247053,769988,262304,308899,187628,11042,115,0,1017041,247053,1017041
18/6/2019,413867,1397382,422706,546284,399085,15883,13424,0,1811249,413867,1811249
19/6/2019,419510,1414097,418914,558449,406558,15416,14760,0,1833607,419510,1833607
20/6/2019,424190,1457279,430884,579719,418117,15194,13365,0,1881469,424190,1881469
21/6/2019,418207,1431144,431839,568713,406145,15559,8888,0,1849351,418207,1849351
22/6/2019,251373,880667,288347,348361,225184,10827,7948,0,1132040,251373,1132040
23/6/2019,153357,651193,205963,256297,170591,9281,9061,0,804550,153357,804550
24/6/2019,411081,1390862,411762,552261,397045,15313,14481,0,1801943,411081,1801943
25/6/2019,412790,1401865,417034,555381,396933,15934,16583,0,1814655,412790,1814655
26/6/2019,419780,1406900,418374,554291,404536,14818,14881,0,1826680,419780,1826680
27/6/2019,430465,1452894,433562,575226,413928,14901,15277,0,1883359,430465,1883359
28/6/2019,414078,1400514,422861,556867,394891,15601,10294,0,1814592,414078,1814592
29/6/2019,253103,873835,287893,347476,220404,10622,7440,0,1126938,253103,1126938
30/6/2019,158373,645213,212660,246299,167809,9492,8953,0,803586,158373,803586
1/7/2019,418653,1390039,420130,548600,393220,15725,12364,0,1808692,418653,1808692
