Σταθμός,Σημεία,Latitude,Longitude,Κατεύθυνση προς ,Πληροφορίες
Πειραιάς,Αλιπέδου,37.947.840,23.643.540,"Κηφισιά
","Απευθείας στις αποβάθρες προςΚηφισιά
"
Πειραιάς,Λουδοβίκου,37.947.700,23.642.780,"Κηφισιά
","Απευθείας στις αποβάθρες προςΚηφισιά
"
Πειραιάς,Πλατεία Οδησσού,37.947.850,23.642.710,"Κηφισιά
","Απευθείας στις αποβάθρες προςΚηφισιά
"
Φάληρο,Παναγίας Μυρτιδιωτίσσης,37.944.760,23.665.380,"Κηφισιά
",-
Φάληρο,"Δαβάκη Πίνδου

",37.955.228,23.679.769,Πειραιά,-
Μοσχάτο,Θεσσαλονίκης ,37.954.980,23.679.940,"Κηφισιά
","Απευθείας στην αποβάθρα 
μέσω ράμπας Θεσσαλονίκης. Υπάρχουν ανελκυστήρες εντός του σταθμού που συνδέουν τις δύο αποβάθρες

"
Μοσχάτο,Θεσσαλονίκης ,37.955.228,23.679.769,Πειραιά,"Απευθείας στην αποβάθρα 
μέσω ράμπας Θεσσαλονίκης. Υπάρχουν ανελκυστήρες εντός του σταθμού που συνδέουν τις δύο αποβάθρες

"
Καλλιθέα,Πατριάρχου Γρηγορίου Ε’,37.960.280,23.697.000,"Κηφισιά
","Οι ανελκυστήρες συνδέουν τις δύο αποβάθρες
"
Καλλιθέα,Θεσσαλονίκης,37.960.280,23.697.030,Πειραιά,"Οι ανελκυστήρες συνδέουν τις δύο αποβάθρες
"
Ταύρος,Αγίων Πάντων,37.962.200,23.703.680,"Κηφισιά
", Η είσοδος είναι μέσω ράμπας στο σταθμό.Υπάρχουν ανελκυστήρες εντός του σταθμού που οδηγούν στην αποβάθρα
Ταύρος,"Θεσσαλονίκης και Αναξαγόρα
",37.962.810,23.703.890,Πειραιά, Η είσοδος είναι μέσω ράμπας στο σταθμό. Υπάρχουν ανελκυστήρες εντός του σταθμού που οδηγούν στην αποβάθρα
Πετράλωνα,Θεσσαλονίκης,37.967.806,23.708.917,"Κηφισιά
",-
Πετράλωνα,Θεσσαλονίκης,37.967.890,23.708.700,Πειραιά,-
Θησείο,Αγίων Ασωμάτων,37.976.499,23.720.569,Κηφισιά,"μέσω ράμπας και στη συνέχεια χρήση
ανελκυστήρα για αποβάθρα

"
Θησείο,Αγίων Ασωμάτων,37.976.907,23.720.875,Πειραιά,μέσω ράμπας
Μοναστηράκι,Άρεως,37.975.957,23.725.778,Κηφισιά,"μέσω ράμπας και στη συνέχεια χρήση
ανελκυστήρα για αποβάθρα

"
Μοναστηράκι,"Αθηνάς 5

",37.976.959,23.726.166,Πειραιά,"μέσω της στοάς προς οδό Θέμιδος και
μέσω μετεπιβίβασης εντός του σταθμού

"
Ομόνοια,HONDOS CENTER,37.984.540,23.727.760,Κηφισιά,"Μέσω μετεπιβίβασης εντός του σταθμού. έμπροσθεν του πολυκαταστήματος
HONDOS CENTER ακολουθώντας την κυκλική κίνηση της
πλατείας Ομονοίας αμέσως μετά την 3η Σεπτεμβρίου δεξιά"
Ομόνοια,Flying Tiger,37.984.150,23.728.710,Πειραιά,"Μέσω μετεπιβίβασης εντός του σταθμού. Έμπροσθεν του καταστήματος Flying Tiger
κατεβαίνοντας την οδό Πανεπιστημίου δεξιά"
Βικτώρια,Χέυδεν 16,37.993.065,23.730.421,Κηφισιά,"Δεξιά της οδού 3ης Σεπτεμβρίου,
Χέυδεν 16"
Βικτώρια,Πλατεία Βικτωρίας,37.993.167,23.730.115,Πειραιά,"Αριστερά της οδού 3ης Σεπτεμβρίου
επί της πλατείας Βικτωρίας

"
Αττική,"Αδμήτου 54

",37.999.349,23.723.350,Κηφισιά,-
Αττική,Ευαλκίδου 5,37.999.500,23.722.075,Πειραιά,-
Άγιος Νικόλαος,"Λεωφόρος Ιωνίας (έναντι αρ.106)

",38.006.818,23.727.738,Κηφισιά,-
Άγιος Νικόλαος,"Λεωφόρος Ιωνίας (έναντι αρ. 89)

",38.006.860,23.727.540,Πειραιά,-
Κάτω Πατήσια,Αχαρνών 309 ,38.011.660,23.728.810,Κηφισιά,Κατεύθυνση προς Αθήνα.
Κάτω Πατήσια,Ψαρουδάκη & Λεωφόρος Ιωνίας,38.011.770,23.728.500,Πειραιά,-
Άγιος Ελευθέριος,"Λεωφόρος Ιωνίας 264

",38.019.980,23.731.820,Κηφισιά,-
Άγιος Ελευθέριος,"Λεωφόρος Ιωνίας 233  & Τούντα 15

",38.020.056,23.731.639,Πειραιά,-
Άνω Πατήσια,Αγίας Λαύρας 94 & Πατησίων,38.023.530,23.735.980,Κηφισιά,Μέσω υπόγειας διάβασης
Άνω Πατήσια,"Λεωφόρος Ιωνίας 279

",38.023.760,23.735.730,Πειραιά,Μέσω υπόγειας διάβασης
