X,Y,FID,geocode,uploadadd,shmeio
23.7079129736683,38.0318377785568,"1","2",ΠΡΩΤΕΣΙΛΑΟΥ 77 -ΙΛΙΟΝ,ΕΚΔΟΤΗΡΙΟ ΟΣΥ
23.7624811356021,37.9874707413337,"2","3",Λ.ΚΗΦΙΣΙΑΣ & ΑΙΤΩΛΙΑΣ,ΕΚΔΟΤΗΡΙΟ ΟΣΥ
23.7302702444595,37.9836056510023,"3","4",ΠΑΝΕΠΙΣΤΗΜΙΟΥ - 58 ΧΑΥΤΕΙΑ,ΕΚΔΟΤΗΡΙΟ ΟΣΥ
23.6423718905389,37.9476262628285,"4","6",ΑΚΤΗ ΠΟΣΕΙΔΩΝΟΣ 38(ΕΝΑΝΤΙ ΣΤ. ΗΣΑΠ),ΕΚΔΟΤΗΡΙΟ ΟΣΥ
23.728665853362,38.0118906561888,"5","7",ΑΧΑΡΝΩΝ & ΣΤΡΑΤΗΓΟΥ ΚΑΛΛΑΡΗ - ΕΙΣΟΔΟΣ ΗΣΑΠ ΑΠΟ ΑΧΑΡΝΩΝ),ΕΚΔΟΤΗΡΙΟ ΟΣΥ
23.6471931486688,37.9432667177163,"6","8",ΔΗΜΟΤΙΚΟ ΘΕΑΤΡΟ - ΠΛΑΤΕΙΑ ΚΟΡΑΗ,ΕΚΔΟΤΗΡΙΟ ΟΣΥ
23.7434961403876,37.9963131662274,"7","9",ΕΥΕΛΠΙΔΩΝ 95  (ΕΝΑΝΤΙ ΔΙΚΑΣΤΗΡΙΩΝ),ΕΚΔΟΤΗΡΙΟ ΟΣΥ
23.7981855748848,38.0228687205405,"8","10",ΚΟΛΟΚΟΤΡΩΝΗ & ΑΡΙΣΤΟΤΕΛΟΥΣ 2 - ΧΑΛΑΝΔΡΙ,ΕΚΔΟΤΗΡΙΟ ΟΣΥ
23.6986800891781,37.9983901673215,"9","11",ΚΤΕΛ ΚΗΦΙΣΟΥ,ΕΚΔΟΤΗΡΙΟ ΟΣΥ
23.5591187249526,37.9637119783626,"10","12",ΛΕΩΦΟΡΟΣ ΔΗΜΟΚΡΑΤΙΑΣ - ΠΕΡΑΜΑ- ΕΝΑΝΤΙ ΑΦ. Λ/Φ,ΕΚΔΟΤΗΡΙΟ ΟΣΥ
23.7177656957045,38.0266362124577,"11","13",ΛΕΩΦΟΡΟΣ ΔΗΜΟΚΡΑΤΙΑΣ - ΠΛΑΤΕΙΑ ΑΓ. ΑΝΑΡΓΥΡΩΝ,ΕΚΔΟΤΗΡΙΟ ΟΣΥ
23.7358487823739,38.0222240382575,"12","15",ΠΑΤΗΣΙΩΝ 343- ΠΑΤΗΣΙΑ,ΕΚΔΟΤΗΡΙΟ ΟΣΥ
23.6998892215506,38.0068320686818,"13","16",ΠΛΑΤΕΙΑ ΑΓ. ΑΝΤΩΝΙΟΥ -ΣΤ. ΜΕΤΡΟ,ΕΚΔΟΤΗΡΙΟ ΟΣΥ
23.7336901307461,38.002068311235,"14","17",ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ - ΠΑΤΗΣΙΩΝ,ΕΚΔΟΤΗΡΙΟ ΟΣΥ
23.7023829447793,37.9556376869847,"15","18",ΠΛΑΤΕΙΑ ΔΑΒΑΚΗ - ΚΑΛΛΙΘΕΑ,ΕΚΔΟΤΗΡΙΟ ΟΣΥ
