TK,LOCALITY,bandavedailycbu,totaconsumption,totaldays,average_daily_consumption,totalparoxes,YYYYMM
10431,ΚΕΝΤΡΟ,Κλάση A,199,10951,0.0,377,Jan-23
10431,ΚΕΝΤΡΟ,Κλάση Β,1537,5738,0.3,203,Jan-23
10431,ΚΕΝΤΡΟ,Κλάση Γ,1345,1960,0.7,76,Jan-23
10431,ΚΕΝΤΡΟ,Κλάση Δ,2103,1202,1.8,48,Jan-23
10431,ΚΕΝΤΡΟ,Κλάση Ε,2572,179,14.4,6,Jan-23
10432,ΚΕΝΤΡΟ,Κλάση A,288,19872,0.0,642,Jan-23
10432,ΚΕΝΤΡΟ,Κλάση Β,1506,6665,0.2,215,Jan-23
10432,ΚΕΝΤΡΟ,Κλάση Γ,1351,1922,0.7,62,Jan-23
10432,ΚΕΝΤΡΟ,Κλάση Δ,2739,1259,2.2,41,Jan-23
10432,ΚΕΝΤΡΟ,Κλάση Ε,2371,217,10.9,7,Jan-23
10432,ΜΟΥΣΕΙΟ,Κλάση A,62,2728,0.0,88,Jan-23
10432,ΜΟΥΣΕΙΟ,Κλάση Β,249,1054,0.2,34,Jan-23
10432,ΜΟΥΣΕΙΟ,Κλάση Γ,49,62,0.8,2,Jan-23
10432,ΜΟΥΣΕΙΟ,Κλάση Δ,89,62,1.4,2,Jan-23
10432,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση A,158,10329,0.0,336,Jan-23
10432,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση Β,1261,5328,0.2,172,Jan-23
10432,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση Γ,734,1093,0.7,36,Jan-23
10432,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση Δ,1211,610,2.0,20,Jan-23
10433,ΑΓΓΕΛΟΠΟΥΛΟΥ,Κλάση A,36,1271,0.0,41,Jan-23
10433,ΑΓΓΕΛΟΠΟΥΛΟΥ,Κλάση Β,198,930,0.2,30,Jan-23
10433,ΑΓΓΕΛΟΠΟΥΛΟΥ,Κλάση Γ,72,93,0.8,3,Jan-23
10433,ΚΕΝΤΡΟ,Κλάση A,27,1302,0.0,42,Jan-23
10433,ΚΕΝΤΡΟ,Κλάση Β,149,589,0.3,19,Jan-23
10433,ΚΕΝΤΡΟ,Κλάση Γ,53,93,0.6,3,Jan-23
10433,ΜΟΥΣΕΙΟ,Κλάση A,109,6076,0.0,197,Jan-23
10433,ΜΟΥΣΕΙΟ,Κλάση Β,729,3255,0.2,105,Jan-23
10433,ΜΟΥΣΕΙΟ,Κλάση Γ,241,372,0.7,12,Jan-23
10433,ΜΟΥΣΕΙΟ,Κλάση Δ,105,93,1.1,3,Jan-23
10433,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση A,685,28803,0.0,932,Jan-23
10433,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση Β,5201,22452,0.2,725,Jan-23
10433,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση Γ,1415,2201,0.6,71,Jan-23
10433,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση Δ,1053,620,1.7,20,Jan-23
10433,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση Ε,606,93,6.5,3,Jan-23
10433,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ,Κλάση A,579,24617,0.0,799,Jan-23
10433,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ,Κλάση Β,4686,19791,0.2,639,Jan-23
10433,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ,Κλάση Γ,1755,2746,0.6,89,Jan-23
10433,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ,Κλάση Δ,833,558,1.5,18,Jan-23
10433,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ,Κλάση Ε,348,34,10.2,2,Jan-23
